group_index,depth,ratio
0,6,0.0
1,12,0.0
2,24,0.0
3,48,0.0
4,96,0.0
5,6,0.1
6,12,0.1
7,24,0.1
8,48,0.1
9,96,0.1
10,6,0.25
11,12,0.25
12,24,0.25
13,48,0.25
14,96,0.25
15,6,0.5
16,12,0.5
17,24,0.5
18,48,0.5
19,96,0.5
20,6,1.0
21,12,1.0
22,24,1.0
23,48,1.0
24,96,1.0
